from,to
HTRA2,ANXA2
IFNG,ANXA2
IGF1R,ANXA2
INS,ANXA2
INSR,ANXA2
LGALS3,ANXA2
PRKCA,ANXA2
PRKCB,ANXA2
PRKCD,ANXA2
PRKCE,ANXA2
PRKCG,ANXA2
PRKCZ,ANXA2
PTK2B,ANXA2
RAPGEF3,ANXA2
SCYL2,ANXA2
UBAP2,ANXA2
KDR,ANXA5
VEGFD,ANXA5
PPARG,AOC3
ESR1,AP1B1
FOXA1,AP1B1
ATM,AP3B1
ATM,AP3B2
MAPK14,AP3D1
AKT1,APAF1
BAX,APAF1
BCL2,APAF1
BIRC5,APAF1
E2F1,APAF1
RPS6KA1,APAF1
XIAP,APAF1
CDK1,APBA2
EGFR,APBA3
MTOR,APBA3
ABL1,APBB1
ATM,APBB1
EGFR,APBB1
MAPK1,APBB1
EGFR,APBB2
EGFR,APBB3
E2F1,APC
LRP6,APC
NOTCH1,APC
PTK2,APC
WNT3A,APC
WNT3A,APCDD1
SIRT1,APEX1
ATM,APLF
APLN,APLNR
GFAP,APLNR
AKT1,APLP2
CDK1,APLP2
HLA-A,APLP2
PCSK9,APLP2
CREBBP,APOA1
EP300,APOA1
MPO,APOA1
NRIP1,APOA1
RXRA,APOA1
TNF,APOBEC2
ADAM17,APP
APOE,APP
CDK1,APP
CTSD,APP
IGF1,APP
ADIPOQ,APPL1
EGFR,APPL1
AVP,AQP1
CALM1,AQP1
CALM2,AQP1
CALM3,AQP1
CTNNB1,AQP1
EPHB2,AQP1
LIN7B,AQP1
PRKCA,AQP1
PRKCB,AQP1
PRKCD,AQP1
PRKCE,AQP1
PRKCG,AQP1
ANXA2,AQP2
NPPA,AQP3
TNF,AQP3
PPARG,AQP7
RXRA,AQP7
RXRB,AQP7
RXRG,AQP7
DSCAML1,AQP9
PRKCZ,AQP9
AHR,AR
AKT1,AR
CALR,AR
CASP8,AR
CDK1,AR
E2F1,AR
EDN1,AR
EGR1,AR
EZH2,AR
GAS6,AR
HDAC4,AR
HIPK3,AR
HNRNPK,AR
IL6,AR
KDM3A,AR
MAPK14,AR
PRDX1,AR
PTEN,AR
SIRT1,AR
SMAD4,AR
SOD2,AR
TGFB1,AR
AGTR1,ARF6
EGFR,ARF6
MET,ARF6
AKT1,ARFGAP2
AKT1,ARFIP2
ARHGAP45,ARG1
ATF2,ARG1
CEBPB,ARG1
JUN,ARG1
LBP,ARG1
SPI1,ARG1
MAPK14,ARHGAP12
AKT1,ARHGAP19
CDK1,ARHGAP19
AKT1,ARHGAP19-SLIT1
CDK1,ARHGAP19-SLIT1
AKT1,ARHGAP22
MAPK1,ARHGAP26
PTK2,ARHGAP26
RPS6KA1,ARHGAP31
MAPK14,ARHGAP33
ABL1,ARHGAP35
PTK2,ARHGAP35
PTPN11,ARHGAP35
PTPN11,ARHGAP5
CDKN1A,ARHGDIA
CSK,ARHGDIA
PAK1,ARHGDIA
PRKACA,ARHGDIA
PRKCA,ARHGDIA
RDX,ARHGDIA
SRC,ARHGDIA
ABL1,ARHGDIB
CDK1,ARHGEF12
MAPK14,ARHGEF12
MAPK1,ARHGEF17
CDK1,ARHGEF2
PTK2,ARHGEF28
FGF2,ARHGEF7
HIF1A,ARHGEF7
MAPK14,ARHGEF7
PTK2,ARHGEF7
CDK2,ARID1A
GSK3B,ARID1A
MAPK8,ARID1A
MAPK9,ARID1A
MAPK1,ARID4B
MAPK14,ARID4B
AKT1,ARNT
APEX1,ARNT
ASPH,ARNT
CREBBP,ARNT
CSNK2A1,ARNT
CSNK2A3,ARNT
HIF1AN,ARNT
SENP6,ARNT
STAT1,ARNT
IGF1R,ARRB1
MAPK14,ARRB2
TIGIT,ARRB2
BMPR2,ARSA
PTK2,ASAP1
EGFR,ASAP3
MAPK1,ASAP3
WNK1,ASAP3
MAPK1,ASB2
CREBBP,ASCL1
NOTCH1,ASCL1
ADIPOQ,ASGR2
REN,ASIC3
CDK1,ASPH
MAPK14,ASPH
ARAF,ASS1
CDK1,ASXL2
CDK1,ATAD5
HIPK3,ATF1
MAPK14,ATF1
SMAD4,ATF1
ATM,ATF2
BMP2,ATF2
BMP7,ATF2
BMPR2,ATF2
BSG,ATF2
CDK1,ATF2
EP300,ATF2
IL17A,ATF2
IL1B,ATF2
MAPK14,ATF2
SMAD4,ATF2
MAPK1,ATF4
MAPK14,ATF4
RPS6KA1,ATF4
MAPK14,ATF6
MAPK1,ATF6B
MAPK14,ATF6B
CDK1,ATG13
MTOR,ATG13
FOXO1,ATG14
FOXO3,ATG14
NOD1,ATG16L1
MAPK1,ATG2B
AKT1,ATG4B
CASP3,ATG4D
MAPK14,ATG5
FOXO1,ATG7
ACTL6A,ATM
AURKB,ATM
CCNG1,ATM
CDK5,ATM
CDK5R1,ATM
CDK6,ATM
CDKN2A,ATM
EGF,ATM
EGFR,ATM
FOXO3,ATM
HIF3A,ATM
HINFP,ATM
IFNG,ATM
INSR,ATM
PAXIP1,ATM
PER1,ATM
PPM1D,ATM
PPP1CC,ATM
PPP2CA,ATM
PPP2CB,ATM
PPP5C,ATM
RPS6KA2,ATM
SALL4,ATM
SMAD7,ATM
TELO2,ATM
TEP1,ATM
THOC1,ATM
TIMELESS,ATM
TNF,ATM
TYR,ATM
UBE2N,ATM
ATM,ATMIN
CDK1,ATN1
MAPK1,ATN1
MAPK14,ATN1
CDX2,ATOH1
ID3,ATOH1
NOTCH1,ATOH1
MAPK1,ATP1A1
BCR,ATP2B1
CALM2,ATP2B1
CALM3,ATP2B1
CSNK1G1,ATP2B1
INS,ATP2B1
MYB,ATP2B1
PRKACA,ATP2B1
PRKX,ATP2B1
PTK2,ATP2B4
EGFR,ATP5F1C
ESR1,ATP5PF
FOXA1,ATP5PF
ATP6V0A4,ATP6AP2
ATP6V0D1,ATP6AP2
ATP6V0D2,ATP6AP2
ATP6V1B1,ATP6AP2
ATP6V1D,ATP6AP2
ATP6V1F,ATP6AP2
ATP6V1G1,ATP6AP2
ATP6V1G2,ATP6AP2
ATP6V1G2-DDX39B,ATP6AP2
ATP6V1G3,ATP6AP2
ATP6V1H,ATP6AP2
WNT3A,ATP6AP2
BCL6,ATR
CDK1,ATR
HMOX1,ATR
MAPK14,ATRX
AKT1,ATXN1
CREBBP,ATXN7
HIPK3,AURKB
AKT1,AVEN
CSNK1E,AVEN
TPTEP2-CSNK1E,AVEN
MAPK14,AXIN1
NOTCH1,AXIN1
TGFB2,AXIN1
TGFB3,AXIN1
WNT3A,AXIN1
ESR1,AXIN2
INHBE,B3GAT1
ESR1,B4GALT1
AKT1,BABAM1
FURIN,BACE1
IFNG,BACE1
MAPK14,BACE1
TNF,BACE1
USP8,BACE1
CDK1,BAD
FGF2,BAD
IGF1,BAD
MAPK1,BAD
MAPK14,BAD
MCL1,BAD
PTEN,BAD
TNF,BAD
MET,BAG1
CDK1,BAG3
MAPK14,BAG3
MTOR,BAG3
TNF,BAG4
ATM,BAG6
CDK2,BAG6
CILK1,BAG6
MAPK14,BAG6
IGF1R,BAIAP2
BBC3,BAK1
BCL2,BAK1
BCL2L11,BAK1
BCL2L2,BAK1
BCL2L2-PABPN1,BAK1
BID,BAK1
BMX,BAK1
ERBB4,BAK1
ERN1,BAK1
MCL1,BAK1
PTPN5,BAK1
SH3GLB1,BAK1
SMARCA2,BAK1
TP73,BAK1
VDAC2,BAK1
MAPK1,BANP
ATM,BARD1
CDK1,BARD1
ADCY10,BAX
AKT1,BAX
AKT3,BAX
ATR,BAX
BBC3,BAX
BCL2L10,BAX
BCL2L11,BAX
BCL2L2,BAX
BCL2L2-PABPN1,BAX
BLK,BAX
CAPN1,BAX
CCN4,BAX
CREBBP,BAX
CRYAA,BAX
CRYAA2,BAX
CRYAB,BAX
CSF2,BAX
CTBP1,BAX
CTSK,BAX
DNAJA2,BAX
DYRK2,BAX
EP300,BAX
FPGT-TNNI3K,BAX
GFI1,BAX
GSK3B,BAX
HK1,BAX
HK2,BAX
HK3,BAX
HKDC1,BAX
HSPA5,BAX
HSPD1,BAX
JMY,BAX
MAPK1,BAX
MAPK3,BAX
MAPK8,BAX
MAX,BAX
MYC,BAX
NPTX1,BAX
NR3C1,BAX
NR4A1,BAX
PARK7,BAX
POU4F1,BAX
POU4F2,BAX
PPP1R13B,BAX
PPP2CA,BAX
PPP2CB,BAX
PRKCZ,BAX
PRNP,BAX
PYCARD,BAX
RELA,BAX
RERE,BAX
RPS6KB1,BAX
SMPD1,BAX
SP1,BAX
TAF1,BAX
TAF1L,BAX
TMBIM6,BAX
TNNI3K,BAX
TP73,BAX
TRIM28,BAX
UBB,BAX
VDAC2,BAX
XRCC6,BAX
MAPK14,BAZ1B
E2F1,BBC3
CXCR4,BCAR1
EGFR,BCAR1
FLT1,BCAR1
IGF1R,BCAR1
ITGA9,BCAR1
ITGAX,BCAR1
ITGB2,BCAR1
KDR,BCAR1
PTK2,BCAR1
VEGFA,BCAR1
MAPK14,BCAS1
ATM,BCL10
TLR4,BCL10
TNF,BCL10
AKT1,BCL11A
AKT3,BCL2
ATF2,BCL2
BAG1,BCL2
BAG2,BCL2
BBC3,BCL2
BCAP31,BCL2
BLK,BCL2
BMF,BCL2
BNIP3,BCL2
BNIP3L,BCL2
CAPN1,BCL2
CAPN2,BCL2
CCNB1,BCL2
CD4,BCL2
CDC25C,BCL2
CDK1,BCL2
CDK5,BCL2
CDK6,BCL2
CISD2,BCL2
CREB1,BCL2
DAPK1,BCL2
DDIT3,BCL2
EIF2AK2,BCL2
EIF4G2,BCL2
ERN1,BCL2
FAS,BCL2
FKBP8,BCL2
FLI1,BCL2
FUS,BCL2
GATA4,BCL2
GLI2,BCL2
GSK3B,BCL2
HSP90AA1,BCL2
IKZF3,BCL2
IL2RG,BCL2
IL5,BCL2
IL6,BCL2
IL7R,BCL2
IRS1,BCL2
JAK1,BCL2
