L1,L2,L3,R1,R2,R3,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
Cxcl2,,,CXCR2,,,24,DEVCOMLR:10090:C610821A386C,mouse_development_LR000024,CXCL2,CXCR2,CXCL2>>CXCR2,simple,1,1,CXCL2>>CXCR2,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Direct,9260277,9260277,9260277,1,1,Direct,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;direct_experimental_support,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Direct,Direct,0,,0
C3,,,HcAR2,,,25,DEVCOMLR:10090:5E2E3B45AD4B,mouse_development_LR000025,C3,HCAR2,C3>>HCAR2,simple,1,1,C3>>HCAR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
C4b,,,HcAR2,,,26,DEVCOMLR:10090:29E5EC6E87A7,mouse_development_LR000026,C4B,HCAR2,C4B>>HCAR2,simple,1,1,C4B>>HCAR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Hc,,,HcAR1,,,27,DEVCOMLR:10090:0A4448A51C6C,mouse_development_LR000027,HC,HCAR1,HC>>HCAR1,simple,1,1,HC>>HCAR1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Hc,,,HcAR2,,,28,DEVCOMLR:10090:89E4738BFB77,mouse_development_LR000028,HC,HCAR2,HC>>HCAR2,simple,1,1,HC>>HCAR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Fgf15,,,FGFR4,KLB,,29,DEVCOMLR:10090:6FAA91C0B703,mouse_development_LR000029,FGF15,FGFR4|KLB,FGF15>>FGFR4|KLB,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,10525310;14730967;16597617;22442730,10525310;14730967;16597617;22442730,4,4,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,2
Ins2,,,INSR,,,30,DEVCOMLR:10090:F2CEDA465202,mouse_development_LR000030,INS2,INSR,INS2>>INSR,simple,1,1,INS2>>INSR,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,2550426,2550426,2550426,1,1,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
Ifna12,,,IFNAR1,IFNAR2,,31,DEVCOMLR:10090:CD4AA6ED5C68,mouse_development_LR000031,IFNA12,IFNAR1|IFNAR2,IFNA12>>IFNAR1|IFNAR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction;dominant_complex,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,2
Il1f8,,,IL1RAP,IL1RL2,,33,DEVCOMLR:10090:5915EFD9FDD3,mouse_development_LR000032,IL1F8,IL1RAP|IL1RL2,IL1F8>>IL1RAP|IL1RL2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,MGI_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;dominant_complex,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,2
Hsd3b6,,,CATSPER1,CATSPERB,,34,DEVCOMLR:10090:1970572AB20A,mouse_development_LR000033,HSD3B6,CATSPER1|CATSPERB,HSD3B6>>CATSPER1|CATSPERB,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Hsd3b6,,,CATSPER1,CATSPERD,,35,DEVCOMLR:10090:9F4F11F48FC1,mouse_development_LR000034,HSD3B6,CATSPER1|CATSPERD,HSD3B6>>CATSPER1|CATSPERD,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Hsd3b6,,,CATSPER2,CATSPERB,,36,DEVCOMLR:10090:C2FC528BD3DA,mouse_development_LR000035,HSD3B6,CATSPER2|CATSPERB,HSD3B6>>CATSPER2|CATSPERB,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Hsd3b6,,,CATSPER2,CATSPERD,,37,DEVCOMLR:10090:02CB4DC40A43,mouse_development_LR000036,HSD3B6,CATSPER2|CATSPERD,HSD3B6>>CATSPER2|CATSPERD,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Hsd3b6,,,CATSPER3,CATSPERB,,38,DEVCOMLR:10090:8FA8FA1EB344,mouse_development_LR000037,HSD3B6,CATSPER3|CATSPERB,HSD3B6>>CATSPER3|CATSPERB,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Hsd3b6,,,CATSPER3,CATSPERD,,39,DEVCOMLR:10090:7251378A7277,mouse_development_LR000038,HSD3B6,CATSPER3|CATSPERD,HSD3B6>>CATSPER3|CATSPERD,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Hsd3b6,,,CATSPER4,CATSPERB,,40,DEVCOMLR:10090:E2AA25EB515A,mouse_development_LR000039,HSD3B6,CATSPER4|CATSPERB,HSD3B6>>CATSPER4|CATSPERB,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Hsd3b6,,,CATSPER4,CATSPERD,,41,DEVCOMLR:10090:5F7691609AC1,mouse_development_LR000040,HSD3B6,CATSPER4|CATSPERD,HSD3B6>>CATSPER4|CATSPERD,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance;complex_interaction,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Fasl,,,FAS,,,42,DEVCOMLR:10090:248E50EF8DC9,mouse_development_LR000041,FASL,FAS,FASL>>FAS,simple,1,1,FASL>>FAS,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,9126929;9228058;12887920,9126929;9228058;12887920,9126929;9228058;12887920,3,3,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
CD248,,,Il6ra,,,43,DEVCOMLR:10090:C2C66DD41DD1,mouse_development_LR000042,CD248,IL6RA,CD248>>IL6RA,simple,1,1,CD248>>IL6RA,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
Flt3l,,,FLT3,,,44,DEVCOMLR:10090:C78E986445FB,mouse_development_LR000043,FLT3L,FLT3,FLT3L>>FLT3,simple,1,1,FLT3L>>FLT3,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Direct,7505204;9651358;15147956,7505204;9651358;15147956,7505204;9651358;15147956,3,3,Direct,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;direct_experimental_support,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Direct,Direct,0,,0
