L1,R1,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
Col1a1,Cd44,22,DEVCOMLR:10116:BE451ACCCA33,rat_development_LR000022,COL1A1,CD44,COL1A1>>CD44,simple,1,1,COL1A1>>CD44,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,1730778,1730778,1730778,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Tgfb1,Tgfbr3,23,DEVCOMLR:10116:3EE543A31BFD,rat_development_LR000023,TGFB1,TGFBR3,TGFB1>>TGFBR3,simple,1,1,TGFB1>>TGFBR3,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,11382746;19842711,11382746;19842711,11382746;19842711,2,2,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Shh,Cdon,24,DEVCOMLR:10116:88029FC86AAC,rat_development_LR000024,SHH,CDON,SHH>>CDON,simple,1,1,SHH>>CDON,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,16647304;17086203;20519495,16647304;17086203;20519495,16647304;17086203;20519495,3,3,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Shh,Ptch1,25,DEVCOMLR:10116:6B376B5AE1E4,rat_development_LR000025,SHH,PTCH1,SHH>>PTCH1,simple,1,1,SHH>>PTCH1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,9811851;10050855,9811851;10050855,9811851;10050855,2,2,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Shh,Hhip,26,DEVCOMLR:10116:99832F93D7AA,rat_development_LR000026,SHH,HHIP,SHH>>HHIP,simple,1,1,SHH>>HHIP,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,10050855,10050855,10050855,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Shh,Cav1,27,DEVCOMLR:10116:5F660F4BF94B,rat_development_LR000027,SHH,CAV1,SHH>>CAV1,simple,1,1,SHH>>CAV1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Lamb1,Itgb1,28,DEVCOMLR:10116:936605755DFF,rat_development_LR000028,LAMB1,ITGB1,LAMB1>>ITGB1,simple,1,1,LAMB1>>ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,9624186;10585296;11278916;16413178,9624186;10585296;11278916;16413178,9624186;10585296;11278916;16413178,4,4,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Tgfb3,Tgfbr1,29,DEVCOMLR:10116:21AD3942362E,rat_development_LR000029,TGFB3,TGFBR1,TGFB3>>TGFBR1,simple,1,1,TGFB3>>TGFBR1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,11850637,11850637,11850637,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Tgfb3,Tgfbr3,30,DEVCOMLR:10116:120077183360,rat_development_LR000030,TGFB3,TGFBR3,TGFB3>>TGFBR3,simple,1,1,TGFB3>>TGFBR3,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,19842711,19842711,19842711,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Tgfb3,Tgfbr2,31,DEVCOMLR:10116:FE60A25FDC2D,rat_development_LR000031,TGFB3,TGFBR2,TGFB3>>TGFBR2,simple,1,1,TGFB3>>TGFBR2,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,11850637;12729750,11850637;12729750,11850637;12729750,2,2,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
