L1,L2,R1,R2,R3,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
CADM2,,CADM3,,,9914,DEVCOMLR:9913:0A15D9FDF6E2,BOS_development_LR009418,CADM2,CADM3,CADM2>>CADM3,simple,1,1,CADM2>>CADM3,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,30131958,30131958,30131958,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CADM2,,CADM2,,,9915,DEVCOMLR:9913:7F92C2F7A965,BOS_development_LR009419,CADM2,CADM2,CADM2>>CADM2,simple,1,1,CADM2>>CADM2,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,30131958,30131958,30131958,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CADM2,,CADM1,,,9916,DEVCOMLR:9913:4D0621C307C6,BOS_development_LR009420,CADM2,CADM1,CADM2>>CADM1,simple,1,1,CADM2>>CADM1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,30131958,30131958,30131958,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CADM1,,CADM4,,,9917,DEVCOMLR:9913:4C56E88D5313,BOS_development_LR009421,CADM1,CADM4,CADM1>>CADM4,simple,1,1,CADM1>>CADM4,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,30131958,30131958,30131958,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CADM1,,CADM2,,,9918,DEVCOMLR:9913:E56E3F9AEFBC,BOS_development_LR009422,CADM1,CADM2,CADM1>>CADM2,simple,1,1,CADM1>>CADM2,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,30131958,30131958,30131958,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C9,,CD59,,,9919,DEVCOMLR:9913:64B73BD6451B,BOS_development_LR009423,C9,CD59,C9>>CD59,simple,1,1,C9>>CD59,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,16844690,16844690,16844690,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C4A,,F2RL3,,,9920,DEVCOMLR:9913:3A13927E80BA,BOS_development_LR009424,C4A,F2RL3,C4A>>F2RL3,simple,1,1,C4A>>F2RL3,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28973891,28973891,28973891,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C4A,,F2R,,,9921,DEVCOMLR:9913:3CFC53E96F31,BOS_development_LR009425,C4A,F2R,C4A>>F2R,simple,1,1,C4A>>F2R,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28973891,28973891,28973891,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QTNF9,,ADIPOR1,,,9922,DEVCOMLR:9913:C40167F26A95,BOS_development_LR009426,C1QTNF9,ADIPOR1,C1QTNF9>>ADIPOR1,simple,1,1,C1QTNF9>>ADIPOR1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,21836066,21836066,21836066,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QTNF8,,RXFP1,,,9923,DEVCOMLR:9913:E0D6B22DB545,BOS_development_LR009427,C1QTNF8,RXFP1,C1QTNF8>>RXFP1,simple,1,1,C1QTNF8>>RXFP1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,24014093,24014093,24014093,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QTNF5,,ADIPOR1,,,9924,DEVCOMLR:9913:9CED99DCAF59,BOS_development_LR009428,C1QTNF5,ADIPOR1,C1QTNF5>>ADIPOR1,simple,1,1,C1QTNF5>>ADIPOR1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,21836066,21836066,21836066,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
C1QTNF3,,ADIPOR1,,,9925,DEVCOMLR:9913:44285AF8D14C,BOS_development_LR009429,C1QTNF3,ADIPOR1,C1QTNF3>>ADIPOR1,simple,1,1,C1QTNF3>>ADIPOR1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,21836066,21836066,21836066,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CBLN4,,NEO1,,,9926,DEVCOMLR:9913:59C9B22B542B,BOS_development_LR009430,CBLN4,NEO1,CBLN4>>NEO1,simple,1,1,CBLN4>>NEO1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,35544694,35544694,35544694,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CBLN4,,DCC,,,9927,DEVCOMLR:9913:742E17009FC9,BOS_development_LR009431,CBLN4,DCC,CBLN4>>DCC,simple,1,1,CBLN4>>DCC,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,24400119,24400119,24400119,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
CBLN2,,NRXN1,,,9928,DEVCOMLR:9913:41D06AEF142C,BOS_development_LR009432,CBLN2,NRXN1,CBLN2>>NRXN1,simple,1,1,CBLN2>>NRXN1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,36205393,36205393,36205393,1,1,Orthology_inferred,0,,VGNC/NCBI/Ensembl_species_specific_table,1,new_connectomeDB2025_only,0,0,single_source;orthology_inferred,,0,,,BOS,Bos taurus,9913,development,generic_prior_receptor_in_context_RTF,Inferred,Inferred,0,,0
