L1,R1,R2,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
TNF,TNFRSF1A,,29,DEVCOMLR:9940:D73622EA13F8,sheep_development_LR000029,TNF,TNFRSF1A,TNF>>TNFRSF1A,simple,1,1,TNF>>TNFRSF1A,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,7852363;12887920;17195449;19084540;33495441,7852363;12887920;17195449;19084540;33495441,7852363;12887920;17195449;19084540;33495441,5,5,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
LTA,TNFRSF1A,,30,DEVCOMLR:9940:D7D16DBE683E,sheep_development_LR000030,LTA,TNFRSF1A,LTA>>TNFRSF1A,simple,1,1,LTA>>TNFRSF1A,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,8387891,8387891,8387891,1,1,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
TNFSF11,TNFRSF11B,,31,DEVCOMLR:9940:A81631B99992,sheep_development_LR000031,TNFSF11,TNFRSF11B,TNFSF11>>TNFRSF11B,simple,1,1,TNFSF11>>TNFRSF11B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,,,0,,0
CD40LG,ITGAM,ITGB2,32,DEVCOMLR:9940:ADFD6A88F152,sheep_development_LR000032,CD40LG,ITGAM|ITGB2,CD40LG>>ITGAM|ITGB2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,17372166;22461623;32149455,17372166;22461623;32149455,3,3,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,,,0,,2
SPP1,CD44,,33,DEVCOMLR:9940:508C01F6DC94,sheep_development_LR000033,SPP1,CD44,SPP1>>CD44,simple,1,1,SPP1>>CD44,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,10657301;11825898;12377945;39095854,10657301;11825898;12377945;39095854,10657301;11825898;12377945;39095854,4,4,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
SPP1,ITGAV,ITGB1,34,DEVCOMLR:9940:705DC5EF2C76,sheep_development_LR000034,SPP1,ITGAV|ITGB1,SPP1>>ITGAV|ITGB1,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,7592829;10835423;16005200;19417209;35414038;39721032,7592829;10835423;16005200;19417209;35414038;39721032,6,6,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,,,0,,2
SPP1,ITGA4,ITGB1,35,DEVCOMLR:9940:565DE42DB3E3,sheep_development_LR000035,SPP1,ITGA4|ITGB1,SPP1>>ITGA4|ITGB1,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,7592829;16005200;19417209;35414038;39721032,7592829;16005200;19417209;35414038;39721032,5,5,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,,,0,,2
SPP1,ITGA9,ITGB1,36,DEVCOMLR:9940:761D5D4139F7,sheep_development_LR000036,SPP1,ITGA9|ITGB1,SPP1>>ITGA9|ITGB1,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,7592829;10593924;16005200;19417209;35414038;39721032,7592829;10593924;16005200;19417209;35414038;39721032,6,6,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,,,0,,2
ANGPTL4,CDH11,,37,DEVCOMLR:9940:BF48BCD3C217,sheep_development_LR000037,ANGPTL4,CDH11,ANGPTL4>>CDH11,simple,1,1,ANGPTL4>>CDH11,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28740178,28740178,28740178,1,1,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
ANGPTL4,SDC2,,38,DEVCOMLR:9940:A54B05526BA2,sheep_development_LR000038,ANGPTL4,SDC2,ANGPTL4>>SDC2,simple,1,1,ANGPTL4>>SDC2,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,29017031,29017031,29017031,1,1,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
MDK,SDC2,,39,DEVCOMLR:9940:E0FD5345780B,sheep_development_LR000039,MDK,SDC2,MDK>>SDC2,simple,1,1,MDK>>SDC2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,,,0,,0
