from,to
Psg25,Cd4
Hnrnph1,Cd4
Rps9,Cd4
Cul4a,Cd4
Fzd4,Cd4
Rgs1,Cd4
Ddx3x,Cd4
Trav16,Cd4
Vdac1,Cd4
Reps1,Cd4
Epn1,Cd4
Vdac3-ps1,Cd4
H2-Ab1,Cd4
Ifna2,Cd4
Cd81,Cd4
Tgoln1,Cd4
Actb,Cd4
Ocrl,Cd4
Anxa1,Cd4
Gnai2,Cd4
Gm7589,Cd4
Dhrs2,Cd4
Itgb2l,Cd4
Reps2,Cd4
Gm20489,Cd4
Sell,Cd4
Lep,Cd4
Brca1,Cd4
Trbc1,Cd4
Vegfa,Cd4
Amph,Cd4
Hsp90ab1,Cd4
Nr6a1,Cd4
Sh3gl1,Cd4
Cd28,Cd4
Lamp2,Cd4
Hspa8,Cd4
Cd40lg,Cd4
Psmb10,Cd4
Gm17511,Cd4
Ankrd2,Cd4
Ldlr,Cd4
Pik3c2b,Cd4
Arhgef7,Cd4
Cd82,Cd4
March8,Cd4
Ptpn11,Cd4
Pla2g6,Cd4
Synj2,Cd4
Gm10073,Cd4
Gm5160,Cd4
Ptprj,Cd4
Eif3b,Cd4
Avpr2,Cd4
Eif3k,Cd4
Hgs,Cd4
Cntf,Cd4
Itgb7,Cd4
Gstk1,Cd4
Ubl7,Cd4
Cftr,Cd4
Arpc2,Cd4
Cxcr4,Cd4
Cltc,Cd4
Cryge,Cd4
Ccl28,Cd4
Mpl,Cd4
Rpl7a-ps5,Cd4
Crabp1,Cd4
Pik3c2a,Cd4
Ifna1,Cd4
Tlr7,Cd4
Cd8a,Cd4
Il23r,Cd4
S100b,Cd4
Itih4,Cd4
Dusp9,Cd4
Anxa2,Cd4
Sirpb1a,Cd4
Uba52,Cd4
Ptprcap,Cd4
Inpp5j,Cd4
Rps18,Cd4
Hsp90aa1,Cd4
Cd300c,Cd4
Lck,Cd4
Siglece,Cd4
Tnpo1,Cd4
Fnbp1,Cd4
Cd14,Cd4
Eif3i,Cd4
H2-Eb2,Cd4
Rsc1a1,Cd4
Steap1,Cd4
Sh3bp2,Cd4
Pik3c2g,Cd4
Eif4a2,Cd4
Sgip1,Cd4
Cd274,Cd4
Canx,Cd4
Ntf3,Cd4
Gm6472,Cd4
Cd53,Cd4
Gapvd1,Cd4
Cd59a,Cd4
Prkca,Cd4
Gnaz,Cd4
Ltbr,Cd4
Necap1,Cd4
Gnao1,Cd4
Il7r,Cd4
Gm5093,Cd4
Cux1,Cd4
Pnp,Cd4
Pi4k2a,Cd4
Yars,Cd4
Itgal,Cd4
Rpl22,Cd4
Apc,Cd4
Adrb2,Cd4
Dnajc6,Cd4
Lrp2,Cd4
Ncl,Cd4
Vamp7,Cd4
Gphn,Cd4
Ssrp1,Cd4
Syna,Cd4
Eif3c,Cd4
Ifnab,Cd4
Itgb2,Cd4
Ubc,Cd4
Saal1,Cd4
Chrm2,Cd4
Dvl2,Cd4
Grb2,Cd4
Il12b,Cd4
Tuba1a,Cd4
Ap2m1,Cd4
Tnf,Cd4
Inpp5k,Cd4
Tnfrsf25,Cd4
Hip1,Cd4
Gm10123,Cd4
Igf1r,Cd4
Cbl,Cd4
Fyn,Cd4
Synj1,Cd4
Ctsc,Cd4
Fcgrt,Cd4
Trav19,Cd4
Chst2,Cd4
Il23a,Cd4
Stub1,Cd4
Esr1,Cd4
Cryab,Cd4
Tcf12,Cd4
H2-Aa,Cd4
Copa,Cd4
Necap2,Cd4
Havcr1,Cd4
Rab5a,Cd4
Itsn1,Cd4
March1,Cd4
Sfn,Cd4
Thy1,Cd4
Actr3,Cd4
Pacsin1,Cd4
Kpnb1,Cd4
Rab5c,Cd4
Arrb1,Cd4
Ptprc,Cd4
Olfr17,Cd4
Cd86,Cd4
Dnm3,Cd4
D130043K22Rik,Cd4
Zeb1,Cd4
Plscr1,Cd4
Fcgr4,Cd4
Ccnt1,Cd4
Dnm2,Cd4
Inpp5d,Cd4
Krt8,Cd4
Nr3c1,Cd4
BC035947,Cd4
Fcho1,Cd4
Synb,Cd4
Cd80,Cd4
Nps,Cd4
Ubb,Cd4
Cd83,Cd4
Pacsin3,Cd4
Prkcb,Cd4
Slpi,Cd4
Vdac2,Cd4
Vdac3,Cd4
Syk,Cd4
Il13,Cd4
Trip10,Cd4
Gm16380,Cd4
Socs3,Cd4
Irf6,Cd4
B3gat1,Cd4
Tnfrsf10b,Cd4
AU040320,Cd4
Tnip1,Cd4
Lyn,Cd4
Arv1,Cd4
Itsn2,Cd4
P4htm,Cd4
Ppia,Cd4
Serpinb2,Cd4
Dnm1,Cd4
Gm5506,Cd4
Eif4g1,Cd4
Ifna4,Cd4
Timd2,Cd4
Pdcd1lg2,Cd4
Siva1,Cd4
Cd38,Cd4
Skp1a,Cd4
Rps27a,Cd4
C5ar1,Cd4
Eif2ak2,Cd4
Crp,Cd4
Msn,Cd4
Cdr2,Cd4
Xpot,Cd4
Egfr,Cd4
Mapk8,Cd4
Rplp0,Cd4
Fgr,Cd4
Sh3gl3,Cd4
Daf2,Cd4
Agfg1,Cd4
Arpc4,Cd4
Pip5k1b,Cd4
Ptpn22,Cd4
Ube2k,Cd4
Trav6d-4,Cd4
Gnb2l1,Cd4
Met,Cd4
Fadd,Cd4
Id3,Cd4
Ets1,Cd4
Cdkl2,Cd4
Hnrnpa1,Cd4
Il2,Cd4
Cx3cl1,Cd4
Aplnr,Cd4
Gzmb,Cd4
Hspd1,Cd4
Gzmc,Cd4
Atp8a2,Cd4
Rab5b,Cd4
Wasl,Cd4
Gm8730,Cd4
Fnbp1l,Cd4
Eif2b4,Cd4
Vamp2,Cd4
Myb,Cd4
Klkb1,Cd4
Icam1,Cd4
Arpc3,Cd4
Cr2,Cd4
Pag1,Cd4
Gm12117,Cd4
Fasl,Cd4
Trav6-4,Cd4
Nicn1,Cd4
Atp6v1h,Cd4
Eif3e,Cd4
Tyk2,Cd4
Egf,Cd4
Cltb,Cd4
Irak1bp1,Cd4
Anxa6,Cd4
Aak1,Cd4
Atp5a1,Cd4
Arf1,Cd4
Pi4k2b,Cd4
Gnb1,Cd4
Tnfrsf9,Cd4
Vamp3,Cd4
Scarb2,Cd4
Ap2b1,Cd4
Eno1,Cd4
Trav6d-3,Cd4
Col17a1,Cd4
Ifna6,Cd4
Gm12597,Cd4
Ifna9,Cd4
Cadm4,Cd4
Myl12a,Cd4
Psmc1,Cd4
Ms4a3,Cd4
Tnfsf11,Cd4
Inppl1,Cd4
Ybx1,Cd4
Trav6-7-dv9,Cd4
Rpsa-ps10,Cd4
Nos1,Cd4
Vcp,Cd4
Mapk14,Cd4
AF251705,Cd4
Cd22,Cd4
Tfrc,Cd4
Jak3,Cd4
Chga,Cd4
