L1,R1,R2
Prl2c5,Prlr,
Prl4a1,Prlr,
Edn1,Ednrb,
Edn1,Kel,
Edn1,Ednra,
Sema4d,Cd72,
Sema4d,Plxnb1,
Sema4d,Erbb2,
Sema4d,Met,
Sema4d,Plxnb2,
Sema4d,Plxna2,
Cxcl14,Cxcr4,
Thbs4,Notch1,
Fgf10,Fgfr1,
Fgf10,Fgfr2,
Fgf10,Fgfr3,
Nid2,Col13a1,
Plau,Lrp2,
Plau,Lrp1,
Plau,Mrc2,
Plau,Igf2r,
Vcl,Alk,
Arf4,Lrp2,
Fgf9,Fgfr1,
Fgf9,Fgfr2,
Fgf9,Fgfr3,
Tnfsf11,Lgr4,
Tnfsf11,Tnfrsf11b,
Tnfsf11,Itga2b,
Tnfsf11,Tnfrsf11a,
Clu,Lrp8,
Clu,Lrp2,
Clu,Vldlr,
Adam2,Itga6,
Adam2,Itgb1,
Adam2,Cd9,
Adam2,Itga9,
Fgf17,Fgfr1,
Fgf17,Fgfr2,
Fgf17,Fgfr3,
Gdnf,Gfra4,
Gdnf,Gfra3,
Gdnf,Gfra1,
Gdnf,Sdc3,
Gdnf,Ret,
Gdnf,Sorl1,
Angpt1,Itga5,
Angpt1,Tek,
Col2a1,Itgav,
Col2a1,Itga2b,
Col2a1,Itga2,
Col2a1,Itga1,
Col2a1,Mag,
Pla2g10,Pla2r1,
Ahsg,Insr,
Hrg,Erbb3,
Hrg,Erbb2,
Adipoq,Adipor1,
Adipoq,Adipor2,
Prl2a1,Prlr,
Pros1,Tyro3,
Wnt10b,Fzd8,
Wnt10b,Lrp6,
Wnt10b,Fzd5,
Wnt10b,Fzd4,
Wnt10b,Fzd7,
Wnt1,Lrp5,
Wnt1,Fzd1,
Wnt1,Fzd10,
Wnt1,Fzd9,
Wnt1,Fzd8,
Wnt1,Lrp6,
Wnt1,Fzd5,
Wnt1,Fzd7,
Cxcl13,Cxcr5,
Cxcl13,Cxcr3,
Cxcl13,Ackr4,
Ccl25,Ccr9,
Ccl25,Ackr2,
Ccl25,Ackr4,
Guca2a,Gucy2c,
Bmp15,Bmpr1b,
Bmp15,Bmpr2,
Bmp15,Acvr1c,
Bmp15,Bmpr1a,
Gnb3,Kcnj6,
Crisp2,Catsper1,
Tff2,Muc6,
Ntn3,Dcc,
Ntn3,Neo1,
C3,Cd46,
C3,Cd55,
C3,Lrp1,
C3,C3ar1,
C3,Cr2,
C3,C5ar2,
C3,Cd19,
C3,Itgam,
C3,Cd81,
Apom,Lrp2,
Ltb,Tnfrsf1a,
Ltb,Ltbr,
Tnf,Rhbdf2,
Tnf,Tnfrsf1a,
Tnf,Tnfrsf1b,
Lta,Tnfrsf1a,
Lta,Ltbr,
Lta,Tnfrsf1b,
Hbegf,Erbb3,
Hbegf,Cd9,
Hbegf,Erbb2,
Hbegf,Erbb4,
Scgb1a1,Lrp2,
Anxa1,Fpr2,
Anxa1,Fpr1,
Anxa1,Dysf,
Il33,Il1rl1,
Il33,Il1rap,
Dkk1,Kremen2,
Dkk1,Lrp5,
Dkk1,Lrp6,
Gal,Gpr151,
Gal,Galr1,
Gal,Galr2,
Vegfb,Flt1,
Vegfb,Nrp1,
Rbp4,Stra6,
Slit1,Robo2,
Slit1,Plxna1,
Slit1,Gpc1,
Slit1,Flrt3,
Sema4g,Plxnb2,
Fgf8,Fgfr1,
Fgf8,Fgfr2,
Fgf8,Fgfr3,
Gdf11,Acvr2b,
Gdf11,Acvr2a,
Gdf11,Acvr1c,
Inhbc,Acvr2b,
Inhbc,Acvr2a,
Hras,Tlr9,
Hras,Tlr2,
Podxl,Sell,
Il17a,Il17rd,
Il17a,Il17rc,
Mstn,Acvr2b,
Mstn,Acvr2a,
Nppc,Npr3,
Nppc,Npr1,
Nppc,Npr2,
Lamc2,Itga6,
Lamc2,Itgb1,
Lamc2,Itgb4,
Angptl1,Tek,
Cel,Cxcr4,
Hc,C5ar2,
Hc,C5ar1,
Il1f8,Il1rap,
Il1f8,Il1rl2,
Fshb,Fshr,
Lin7c,Abca1,
Lin7c,Htr2c,
Mdk,Itgb1,
Mdk,Lrp6,
Mdk,Alk,
Mdk,Ptprz1,
Mdk,Lrp1,
F2,Thbd,
F2,Itga2b,
Jag1,Notch2,
Jag1,Notch3,
Oxt,Avpr2,
Oxt,Oxtr,
Spint1,St14,
Bmp2,Acvr2b,
Bmp2,Bmpr1b,
Bmp2,Tgfbr3,
Bmp2,Hjv,
Bmp2,Acvr2a,
Bmp2,Bmpr2,
Bmp2,Acvr1,
Bmp2,Bmpr1a,
Il1b,Il1rap,
Cst3,Lrp2,
Angpt4,Tek,
Edn3,Ednrb,
a,Mc1r,
Ghrh,Vipr1,
Il21,Il2rg,
Il2,Il2rg,
Wnt2b,Fzd4,
Efna1,Epha10,
Efna1,Epha3,
Efna1,Epha7,
Efna1,Epha6,
Efna1,Epha8,
Efna1,Epha1,
Efna1,Epha5,
Vcam1,Itga4,
Vcam1,Itgb1,
Vcam1,Itga9,
Sfrp2,Fzd5,
Pdgfc,Pdgfra,
Egf,Erbb3,
Egf,Erbb2,
Egf,Erbb4,
Dkk2,Lrp6,
Efna3,Epha10,
Efna3,Epha3,
Efna3,Epha7,
Efna3,Epha6,
Efna3,Epha8,
Efna3,Epha1,
Efna3,Erbb2,
Efna3,Ephb1,
Efna3,Epha5,
Efna4,Epha10,
Efna4,Epha3,
Efna4,Epha7,
Efna4,Epha6,
Efna4,Epha8,
Efna4,Epha1,
Efna4,Epha5,
Adam15,Itgb1,
Adam15,Itga9,
Sema4a,Plxnb1,
Sema4a,Plxnb2,
Ccn1,Itgam,
Tln1,Itgal,
Tln1,Itgb1,
Col9a2,Mag,
Edn2,Ednrb,
Sema3c,Plxna4,
Sema3c,Plxnb1,
Sema3c,Nrp2,
