L1,L2,R1,R2,R3,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
IL33,,IL1RAP,IL1RL1,,5854,DEVCOMLR:9541:1026BBB96FA2,mfascicularis_development_LR005770,IL33,IL1RAP|IL1RL1,IL33>>IL1RAP|IL1RL1,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,18450470;20959797;24332029,0,0,,0,0,,,,18450470;20959797;24332029,3,3,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;complex_interaction;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
OLFM2,,ROBO2,,,5855,DEVCOMLR:9541:76EB41B78280,mfascicularis_development_LR005771,OLFM2,ROBO2,OLFM2>>ROBO2,simple,1,1,OLFM2>>ROBO2,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,16169070;16713569,0,0,,0,0,,,,16169070;16713569,2,2,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
LGI1,,ADAM23,,,5856,DEVCOMLR:9541:F0DF7C81F7CC,mfascicularis_development_LR005772,LGI1,ADAM23,LGI1>>ADAM23,simple,1,1,LGI1>>ADAM23,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,18974846,0,0,,0,0,,,,18974846,1,1,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
LGI1,,RTN4R,,,5857,DEVCOMLR:9541:7C63820AA713,mfascicularis_development_LR005773,LGI1,RTN4R,LGI1>>RTN4R,simple,1,1,LGI1>>RTN4R,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,20463223,0,0,,0,0,,,,20463223,1,1,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
BMP15,,BMPR1B,BMPR2,,5858,DEVCOMLR:9541:DCD23434D084,mfascicularis_development_LR005774,BMP15,BMPR1B|BMPR2,BMP15>>BMPR1B|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,12419820;17878607;26003656;26893264;27252362,0,0,,0,0,,,,12419820;17878607;26003656;26893264;27252362,5,5,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;complex_interaction;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
BMP15,,ACVR2A,,,5859,DEVCOMLR:9541:459ED77EB7A8,mfascicularis_development_LR005775,BMP15,ACVR2A,BMP15>>ACVR2A,simple,1,1,BMP15>>ACVR2A,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,2419820;12419820;26198319;27252362,0,0,,0,0,,,,2419820;12419820;26198319;27252362,4,4,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
BMP15,,BMPR1A,,,5860,DEVCOMLR:9541:71DA5C03F7ED,mfascicularis_development_LR005776,BMP15,BMPR1A,BMP15>>BMPR1A,simple,1,1,BMP15>>BMPR1A,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,2419820;12419820,0,0,,0,0,,,,2419820;12419820,2,2,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
WNT11,,MUSK,,,5861,DEVCOMLR:9541:8C87F9C02303,mfascicularis_development_LR005777,WNT11,MUSK,WNT11>>MUSK,simple,1,1,WNT11>>MUSK,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,22309736;23151663,0,0,,0,0,,,,22309736;23151663,2,2,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
WNT11,,FZD3,,,5864,DEVCOMLR:9541:4719437C376E,mfascicularis_development_LR005778,WNT11,FZD3,WNT11>>FZD3,simple,1,1,WNT11>>FZD3,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,15578921;16273260,0,0,,0,0,,,,15578921;16273260,2,2,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
KNG1,,ITGB2,,,5866,DEVCOMLR:9541:2696F967F2E2,mfascicularis_development_LR005779,KNG1,ITGB2,KNG1>>ITGB2,simple,1,1,KNG1>>ITGB2,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,10845911,0,0,,0,0,,,,10845911,1,1,Orthology_inferred,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,orthology_inferred_new,0,0,single_source;orthology_inferred,,0,,,mfascicularis,Macaca fascicularis,9541,development,generic_prior_all_no_RTF_universe,,,0,,0
