from,to
ARNT,RAB37
ARNT,COTL1
ARNT,POLR3GL
ARNT,PADI1
ARNT,PADI3
ARNT,EML4
ARNT,DEGS1
ARNT,PDXK
ARNT,MIR21
ARNT,CDYL2
ARNT,ANO4
ARNT,PRELID2
ARNT,STPG1
ARNT,ADD2
ARNT,TRAM1
ARNT,BEND5
ARNT,ARHGAP5
ARNT,DSCR8
ARNT,STRIP2
ARNT,ZNF804B
ARNT,RAB3B
ARNT,DICER1
ARNT,MID1IP1
ARNT,SPDEF
ARNT,RAB10
ARNT,MB
ARNT,MFSD6
ARNT,TRIM55
ARNT,P2RY6
ARNT,CD99L2
ARNT,SNX12
ARNT,SYCP2
ARNT,LYPD5
ARNT,SLC12A5
ARNT,VWA5B1
ARNT,MIR802
ARNT,TMEM150C
ARNT,TTC39B
ARNT,UMODL1
ARNT,IPCEF1
ARNT,SLC25A29
ARNT,ZNF580
ARNT,NINL
ARNT,ELAC2
ARNT,PNPLA7
ARNT,HEBP1
ARNT,SEC61B
ARNT,GNLY
ARNT,FXR1
ARNT,CCDC70
ARNT,ST8SIA4
ARNT,TRAFD1
ARNT,ITGA8
ARNT,KCNF1
ARNT,CHRM1
ARNT,MYOD1
ARNT,GPR45
ARNT,CSNK1G3
ARNT,GLDN
ARNT,NECAB1
ARNT,TEKT5
ARNT,ALS2CL
ARNT,GFOD2
ARNT,MRO
ARNT,TLR8
ARNT,PIK3C2G
ARNT,FAM3D
ARNT,MYLK3
ARNT,KCNE2
ARNT,SLC5A6
ARNT,WIZ
ARNT,OR6B3
ARNT,SUMO1P1
ARNT,PXDNL
ARNT,CLEC14A
ARNT,SPHKAP
ARNT,GLRA4
ARNT,GGTLC1
ARNT,MCHR2
ARNT,ZCWPW2
ARNT,PTPN21
ARNT,KLHL4
ARNT,ASB2
ARNT,KRT5
ARNT,KRT33A
ARNT,MYL10
ARNT,CTPS2
ARNT,NPY5R
ARNT,ATP4B
ARNT,KRT31
ARNT,ACTRT1
ARNT,TNC
ARNT,POM121L1P
ARNT,ZNF674
ARNT,AXDND1
ARNT,POU2AF1
ARNT,IQCH
ARNT,PHF14
ARNT,IKZF3
ARNT,CRISP2
ARNT,SIGLEC15
ARNT,RERGL
ARNT,AGBL1
ARNT,HTR1E
ARNT,HS3ST4
ARNT,ABHD12B
ARNT,HSF2BP
ARNT,FAM151B
ARNT,SNX25
ARNT,EFR3B
ARNT,FAXDC2
ARNT,IL1R2
ARNT,FAM155A
ARNT,LRRC69
ARNT,NUDT7
ARNT,P2RY2
ARNT,S100A4
ARNT,MIR146A
ARNT,PTGDR
ARNT,SHISA7
ARNT,KIAA1549
ARNT,FER1L6
ARNT,LDLRAD1
ARNT,SNAR-E
ARNT,TTC23L
ARNT,CST5
ARNT,LYZL2
ARNT,PA2G4P4
ARNT,AWAT1
ARNT,DCAF8L2
ARNT,MIR24-2
ARNT,BMS1P18
ARNT,MIR135A2
ARNT,OR4H12P
ARNT,ZNF662
ARNT,OR13H1
ARNT,CT62
ARNT,BPIFA4P
ARNT,SBK2
ARNT,PSG6
ARNT,C1QTNF9B
ARNT,FAAH2
ARNT,FAM47C
ARNT,RAB9BP1
ARNT,LINC00593
ARNT,PCGEM1
ARNT,SOX2-OT
ARNT,MAGEB2
ARNT,OR8S1
ARNT,CD7
ARNT,CYP1A2
ARNT,KRT81
ARNT,CEACAM6
ARNT,WFDC10B
ARNT,OR4Q3
ARNT,CDKN2B-AS1
ARNT,FSCB
ARNT,LINC00589
ARNT,CYP4F29P
ARNT,WLS
ARNT,CCDC170
ARNT,SLC25A17
ARNT,CACNG6
ARNT,CCDC74A
ARNT,ENTPD3
ARNT,PLAC1
ARNT,ODAM
ARNT,NCCRP1
ARNT,NNT
ARNT,ALDH3B2
ARNT,TCEANC
ARNT,ELF3
ARNT,N4BP3
ARNT,TFF1
ARNT,PFDN1
ARNT,ELF4
ARNT,SUGT1P1
ARNT,XIAP
ARNT,SAP30L
ARNT,MIR548A3
ARNT,TNMD
ARNT,CARD14
ARNT,SLC16A14
ARNT,CCDC185
ARNT,MIR181A1
ARNT,KCNB2
ARNT,OR5K1
ARNT,GP2
ARNT,TSPEAR
ARNT,TRAM1L1
ARNT,MRPS9
ARNT,GRIA4
ARNT,GPX3
ARNT,HMHB1
ARNT,MIR147A
ARNT,ZNF85
ARNT,DNM1P46
ARNT,OR7E156P
ARNT,FAM81B
ARNT,SFTA1P
ARNT,RFX8
ARNT,WDFY4
ARNT,KLHL36
ARNT,NPBWR2
ARNT,GSTM5
ARNT,LINC00476
ARNT,EGFEM1P
ARNT,KCNV1
ZNF217,ABCA1
ZNF217,ANXA2
ZNF217,LITAF
ZNF217,PCSK6
ZNF217,IGF1R
ZNF217,DAPK1
ZNF217,SMYD3
ZNF217,RND3
ZNF217,AHNAK
ZNF217,GNG7
ZNF217,RXRA
ZNF217,BCL6
ZNF217,HIF1A
ZNF217,NRIP1
ZNF217,IGFBP3
ZNF217,CPEB4
ZNF217,DUSP5
ZNF217,RYBP
ZNF217,ESR1
ZNF217,SLCO2A1
ZNF217,PVT1
ZNF217,AHR
ZNF217,PFKFB3
ZNF217,RNLS
ZNF217,MYLK
ZNF217,CRIM1
ZNF217,MET
ZNF217,PTK2
ZNF217,PPARG
ZNF217,ADAM12
ZNF217,ITGB2
ZNF217,TP63
ZNF217,ZEB1
ZNF217,DCN
ZNF217,FOXP1
ZNF217,LMX1B
ZNF217,NR4A2
ZNF217,FOXA1
ZNF217,SOX9
ZNF217,FLT1
ZNF217,NRP1
ZNF217,TGFB2
ZNF217,CXCR4
