from,to
Hif1a,Hoxa11
Egr1,Hoxa11
Nfatc1,Hoxa11
Egr1,Polr2j
Nfe2l2,Polr2j
Atf4,Polr2j
Sirt1,Polr2j
Erg,Polr2j
Hif1a,Dhx33
Erg,Dhx33
Nfatc1,Dhx33
Egr1,Dhx33
Epas1,Dhx33
Nfe2l2,Dhx33
Sox9,Dhx33
Sox9,Meox1
Sirt1,Meox1
Hif1a,Meox1
Erg,Thsd7a
Lin28a,Thsd7a
Nkx2-5,Thsd7a
Inhba,Thsd7a
Nfatc1,Lig3
Atf4,Lig3
Egr1,Lig3
Hif1a,Lig3
Epas1,Rpap3
Nfe2l2,Rpap3
Pcdh12,Rpap3
Cd74,Rpap3
Hif1a,Rpap3
Sirt1,Rpap3
Nfatc1,Rpap3
Egr1,Rpap3
Hif1a,Acsm3
Vegfa,Acsm3
Nfatc1,Ciapin1
Flt1,Ciapin1
Sirt1,Ciapin1
Egr1,Ciapin1
Kit,Ciapin1
Nfe2l2,Ciapin1
Sox9,Copz2
Egr1,Copz2
Flt1,Copz2
Pdk1,Copz2
Egr1,Prkar2b
Erg,Prkar2b
Nfe2l2,Prkar2b
Hmgb1,Prkar2b
Hif1a,Prkar2b
Hif1a,Msl3l2
Hif1a,Msl3
Egr1,Msl3l2
Egr1,Msl3
Epas1,Msl3l2
Epas1,Msl3
Erg,Msl3l2
Erg,Msl3
Nfe2l2,Msl3l2
Nfe2l2,Msl3
Sox9,Crebbp
Nfe2l2,Crebbp
Hif1a,Crebbp
Erg,Crebbp
Egr1,Crebbp
Atf4,Crebbp
Epas1,Crebbp
Ptma,Crebbp
Igf1,Crebbp
Flt1,Crebbp
Egr1,Bzrap1
Erg,Bzrap1
Cd74,Bzrap1
Dnmt1,Bzrap1
Nfe2l2,Bzrap1
Nfatc1,Bzrap1
Erg,Mpo
Egr1,Mpo
Adam17,Mpo
Adm,Mpo
Cnr1,Mpo
Nfatc1,Mpo
Nfe2l2,Pon1
Egr1,Pon1
Hif1a,Pon1
Egr1,Gcfc2
Nfatc1,Gcfc2
Nfe2l2,Gcfc2
Atf4,Gcfc2
Sox9,Gcfc2
Egr1,Wdr54
Hif1a,Wdr54
Erg,Wdr54
Nfatc1,Wdr54
Epas1,Wdr54
Egr1,Crot
Hif1a,Crot
Egr1,Abcb4
Nfatc1,Abcb4
Igf1,Abcb4
Hif1a,Abcb4
Egr1,Kmt2e
Hif1a,Kmt2e
Sirt1,Kmt2e
Atf4,Kmt2e
Sox9,Kmt2e
Hmgb1,Kmt2e
Nfatc1,Kmt2e
Dnmt1,Kmt2e
Egr1,Rhbdd2
Hif1a,Rhbdd2
Dnmt1,Rhbdd2
Atf4,Rhbdd2
Erg,Rhbdd2
Hmgb1,Sox8
Egr1,Sox8
Hif1a,Sox8
Sox9,Sox8
Nfatc1,Ibtk
Egr1,Ibtk
Sirt1,Ibtk
Nfe2l2,Ibtk
Rbfox2,Zfp493
Egr1,Zfp493
Nfatc1,Zfp493
Hey2,Zfp493
Atf4,Zfp493
Nfe2l2,Mycbp2
Egr1,Mycbp2
Sox9,Mycbp2
Cd74,Mycbp2
Nfatc1,Mycbp2
Kdm6b,Mycbp2
Egr1,Fbxl3
Kdm6b,Fbxl3
Hif1a,Fbxl3
Pcdh12,Fbxl3
Nfe2l2,Fbxl3
Nfatc1,Itgal
Cd74,Itgal
Erg,Itgal
Egr1,Itgal
Adam17,Itgal
Ascl2,Itgal
Egr1,Pdk2
Sox9,Pdk2
Nfe2l2,Pdk2
Sox9,Itga3
Hif1a,Itga3
Epas1,Itga3
Lin28a,Itga3
Egr1,Itga3
Atf4,Zfx
Nfe2l2,Zfx
Hmgb1,Zfx
Igf1,Zfx
Egr1,Zfx
Pdk1,Zfx
Atf4,Lamp2
Egr1,Lamp2
Erg,Lamp2
Kit,Lamp2
Pdk1,Lamp2
Hif1a,Lamp2
Nfe2l2,Lamp2
Nfatc1,Lamp2
Sox9,Itga2b
Sirt1,Itga2b
Nkx2-5,Asb4
Sirt1,Asb4
Hif1a,Asb4
Erg,Gde1
Egr1,Gde1
Flt1,Gde1
Sox9,2810428I15Rik
Nfe2l2,2810428I15Rik
Cd74,2810428I15Rik
Egr1,2810428I15Rik
Nfe2l2,Crlf1
Pdk1,Crlf1
Erg,Crlf1
Egr1,Crlf1
Egr1,Osbpl7
Ascl2,Osbpl7
Igf1,Osbpl7
