L1,L2,L3,L4,R1,R2,R3,R4,R5,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
GAL,,,,S1PR2,,,,,11540,DEVCOMLR:9606:008B4F1B5C02,human_disease_LR011430,GAL,S1PR2,GAL>>S1PR2,simple,1,1,GAL>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
CXCL5,,,,S1PR2,,,,,11541,DEVCOMLR:9606:491ED539791E,human_disease_LR011431,CXCL5,S1PR2,CXCL5>>S1PR2,simple,1,1,CXCL5>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
CXCL12,,,,S1PR2,,,,,11542,DEVCOMLR:9606:1D681886C6E2,human_disease_LR011432,CXCL12,S1PR2,CXCL12>>S1PR2,simple,1,1,CXCL12>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
SST,,,,S1PR2,,,,,11543,DEVCOMLR:9606:BBE222942C80,human_disease_LR011433,SST,S1PR2,SST>>S1PR2,simple,1,1,SST>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
CCL20,,,,S1PR2,,,,,11544,DEVCOMLR:9606:D4C7BEEBA420,human_disease_LR011434,CCL20,S1PR2,CCL20>>S1PR2,simple,1,1,CCL20>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,0
CXCL6,,,,S1PR2,,,,,11545,DEVCOMLR:9606:47DB836BFC0F,human_disease_LR011435,CXCL6,S1PR2,CXCL6>>S1PR2,simple,1,1,CXCL6>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
CXCL9,,,,S1PR2,,,,,11546,DEVCOMLR:9606:11028B8E4C08,human_disease_LR011436,CXCL9,S1PR2,CXCL9>>S1PR2,simple,1,1,CXCL9>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
PNOC,,,,S1PR2,,,,,11547,DEVCOMLR:9606:2A70D6C462D5,human_disease_LR011437,PNOC,S1PR2,PNOC>>S1PR2,simple,1,1,PNOC>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
RLN3,,,,S1PR2,,,,,11548,DEVCOMLR:9606:93347A3793D5,human_disease_LR011438,RLN3,S1PR2,RLN3>>S1PR2,simple,1,1,RLN3>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
CCL19,,,,S1PR2,,,,,11549,DEVCOMLR:9606:44E515BFFC09,human_disease_LR011439,CCL19,S1PR2,CCL19>>S1PR2,simple,1,1,CCL19>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
